"Category","Average consumption adequacy of Kilocalories (kcal) (ADM2_EN)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Balaka",96.04
1,"Balaka",96.04
2,"Blantyre",95.71
3,"Blantyre",95.71
4,"Blantyre City",98.15
5,"Blantyre City",98.15
6,"Chikwawa",94.82
7,"Chikwawa",94.82
8,"Chiradzulu",95.75
9,"Chiradzulu",95.75
10,"Chitipa",93.8
11,"Chitipa",93.8
12,"Dedza",88.49
13,"Dedza",88.49
14,"Dowa",89.54
15,"Dowa",89.54
16,"Karonga",97.25
17,"Karonga",97.25
18,"Kasungu",91.49
19,"Kasungu",91.49
20,"Likoma",96.74
21,"Likoma",96.74
22,"Lilongwe",92.71
23,"Lilongwe",92.71
24,"Lilongwe City",97.97
25,"Lilongwe City",97.97
26,"Machinga",94.45
27,"Machinga",94.45
28,"Mangochi",96.2
29,"Mangochi",96.2
30,"Mchinji",89.89
31,"Mchinji",89.89
32,"Mulanje",96.74
33,"Mulanje",96.74
34,"Mwanza",95.69
35,"Mwanza",95.69
36,"Mzimba",95.12
37,"Mzimba",95.12
38,"Mzuzu City",95.62
39,"Mzuzu City",95.62
40,"Neno",96.99
41,"Neno",96.99
42,"Nkhata Bay",98.63
43,"Nkhata Bay",98.63
44,"Nkhotakota",96.47
45,"Nkhotakota",96.47
46,"Nsanje",93.86
47,"Nsanje",93.86
48,"Ntcheu",90.56
49,"Ntcheu",90.56
50,"Ntchisi",93.48
51,"Ntchisi",93.48
52,"Phalombe",95.56
53,"Phalombe",95.56
54,"Rumphi",97.69
55,"Rumphi",97.69
56,"Salima",91.5
57,"Salima",91.5
58,"Thyolo",97.57
59,"Thyolo",97.57
60,"Zomba",95.77
61,"Zomba",95.77
62,"Zomba City",96.88
63,"Zomba City",96.88
