"Category","Average consumption adequacy of Kilocalories (kcal) (ADM2_EN)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Balaka",83.25
1,"Balaka",83.25
2,"Blantyre",86.51
3,"Blantyre",86.51
4,"Blantyre City",87.68
5,"Blantyre City",87.68
6,"Chikwawa",90.14
7,"Chikwawa",90.14
8,"Chiradzulu",86.77
9,"Chiradzulu",86.77
10,"Chitipa",92.59
11,"Chitipa",92.59
12,"Dedza",78.61
13,"Dedza",78.61
14,"Dowa",80.39
15,"Dowa",80.39
16,"Karonga",84.2
17,"Karonga",84.2
18,"Kasungu",83.27
19,"Kasungu",83.27
20,"Likoma",80.31
21,"Likoma",80.31
22,"Lilongwe",81.42
23,"Lilongwe",81.42
24,"Lilongwe City",87.78
25,"Lilongwe City",87.78
26,"Machinga",81.76
27,"Machinga",81.76
28,"Mangochi",84.36
29,"Mangochi",84.36
30,"Mchinji",84.19
31,"Mchinji",84.19
32,"Mulanje",91.32
33,"Mulanje",91.32
34,"Mwanza",87.72
35,"Mwanza",87.72
36,"Mzimba",86.26
37,"Mzimba",86.26
38,"Mzuzu City",82.62
39,"Mzuzu City",82.62
40,"Neno",92.13
41,"Neno",92.13
42,"Nkhata Bay",90.1
43,"Nkhata Bay",90.1
44,"Nkhotakota",83.1
45,"Nkhotakota",83.1
46,"Nsanje",90.24
47,"Nsanje",90.24
48,"Ntcheu",84.69
49,"Ntcheu",84.69
50,"Ntchisi",85.38
51,"Ntchisi",85.38
52,"Phalombe",89.96
53,"Phalombe",89.96
54,"Rumphi",91.01
55,"Rumphi",91.01
56,"Salima",82.14
57,"Salima",82.14
58,"Thyolo",90.67
59,"Thyolo",90.67
60,"Zomba",84.48
61,"Zomba",84.48
62,"Zomba City",85.89
63,"Zomba City",85.89
