"Category","Average consumption adequacy of Kilocalories (kcal) (ADM2_EN)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Balaka",65.95
1,"Balaka",65.95
2,"Blantyre",68.48
3,"Blantyre",68.48
4,"Blantyre City",77.6
5,"Blantyre City",77.6
6,"Chikwawa",72.37
7,"Chikwawa",72.37
8,"Chiradzulu",74.71
9,"Chiradzulu",74.71
10,"Chitipa",78.09
11,"Chitipa",78.09
12,"Dedza",68.25
13,"Dedza",68.25
14,"Dowa",64.29
15,"Dowa",64.29
16,"Karonga",69.04
17,"Karonga",69.04
18,"Kasungu",66.29
19,"Kasungu",66.29
20,"Likoma",64.8
21,"Likoma",64.8
22,"Lilongwe",68.17
23,"Lilongwe",68.17
24,"Lilongwe City",74.62
25,"Lilongwe City",74.62
26,"Machinga",66.24
27,"Machinga",66.24
28,"Mangochi",67.78
29,"Mangochi",67.78
30,"Mchinji",68.93
31,"Mchinji",68.93
32,"Mulanje",80.41
33,"Mulanje",80.41
34,"Mwanza",69.67
35,"Mwanza",69.67
36,"Mzimba",69.14
37,"Mzimba",69.14
38,"Mzuzu City",71.84
39,"Mzuzu City",71.84
40,"Neno",73.98
41,"Neno",73.98
42,"Nkhata Bay",73.21
43,"Nkhata Bay",73.21
44,"Nkhotakota",67.6
45,"Nkhotakota",67.6
46,"Nsanje",68.5
47,"Nsanje",68.5
48,"Ntcheu",76.44
49,"Ntcheu",76.44
50,"Ntchisi",70.96
51,"Ntchisi",70.96
52,"Phalombe",79.19
53,"Phalombe",79.19
54,"Rumphi",79.9
55,"Rumphi",79.9
56,"Salima",69.51
57,"Salima",69.51
58,"Thyolo",73.05
59,"Thyolo",73.05
60,"Zomba",70.06
61,"Zomba",70.06
62,"Zomba City",77.61
63,"Zomba City",77.61
