"Category","Average consumption adequacy of Kilocalories (kcal) (ADM2_EN)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Balaka",96.12
1,"Balaka",96.12
2,"Blantyre",97.09
3,"Blantyre",97.09
4,"Blantyre City",98.2
5,"Blantyre City",98.2
6,"Chikwawa",98.21
7,"Chikwawa",98.21
8,"Chiradzulu",97.4
9,"Chiradzulu",97.4
10,"Chitipa",97.05
11,"Chitipa",97.05
12,"Dedza",95.06
13,"Dedza",95.06
14,"Dowa",95.26
15,"Dowa",95.26
16,"Karonga",95.43
17,"Karonga",95.43
18,"Kasungu",96.96
19,"Kasungu",96.96
20,"Likoma",97.52
21,"Likoma",97.52
22,"Lilongwe",95.99
23,"Lilongwe",95.99
24,"Lilongwe City",98.31
25,"Lilongwe City",98.31
26,"Machinga",96.9
27,"Machinga",96.9
28,"Mangochi",95.69
29,"Mangochi",95.69
30,"Mchinji",96.22
31,"Mchinji",96.22
32,"Mulanje",98.41
33,"Mulanje",98.41
34,"Mwanza",97.18
35,"Mwanza",97.18
36,"Mzimba",96.32
37,"Mzimba",96.32
38,"Mzuzu City",97.62
39,"Mzuzu City",97.62
40,"Neno",98.08
41,"Neno",98.08
42,"Nkhata Bay",93.92
43,"Nkhata Bay",93.92
44,"Nkhotakota",94.12
45,"Nkhotakota",94.12
46,"Nsanje",97.47
47,"Nsanje",97.47
48,"Ntcheu",96.99
49,"Ntcheu",96.99
50,"Ntchisi",96.63
51,"Ntchisi",96.63
52,"Phalombe",98.17
53,"Phalombe",98.17
54,"Rumphi",97.91
55,"Rumphi",97.91
56,"Salima",96.52
57,"Salima",96.52
58,"Thyolo",97.05
59,"Thyolo",97.05
60,"Zomba",97.49
61,"Zomba",97.49
62,"Zomba City",98.01
63,"Zomba City",98.01
