"Category","Average consumption adequacy of Kilocalories (kcal) (ADM2_EN)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Balaka",58.02
1,"Balaka",58.02
2,"Blantyre",58.12
3,"Blantyre",58.12
4,"Blantyre City",64.72
5,"Blantyre City",64.72
6,"Chikwawa",64.13
7,"Chikwawa",64.13
8,"Chiradzulu",61.88
9,"Chiradzulu",61.88
10,"Chitipa",61.77
11,"Chitipa",61.77
12,"Dedza",51.22
13,"Dedza",51.22
14,"Dowa",48.1
15,"Dowa",48.1
16,"Karonga",56.1
17,"Karonga",56.1
18,"Kasungu",52.3
19,"Kasungu",52.3
20,"Likoma",63.12
21,"Likoma",63.12
22,"Lilongwe",52.47
23,"Lilongwe",52.47
24,"Lilongwe City",58.54
25,"Lilongwe City",58.54
26,"Machinga",57.03
27,"Machinga",57.03
28,"Mangochi",57.86
29,"Mangochi",57.86
30,"Mchinji",51.82
31,"Mchinji",51.82
32,"Mulanje",73.81
33,"Mulanje",73.81
34,"Mwanza",58.4
35,"Mwanza",58.4
36,"Mzimba",56.26
37,"Mzimba",56.26
38,"Mzuzu City",62.13
39,"Mzuzu City",62.13
40,"Neno",63.63
41,"Neno",63.63
42,"Nkhata Bay",69.72
43,"Nkhata Bay",69.72
44,"Nkhotakota",58.11
45,"Nkhotakota",58.11
46,"Nsanje",62.37
47,"Nsanje",62.37
48,"Ntcheu",61.29
49,"Ntcheu",61.29
50,"Ntchisi",55.01
51,"Ntchisi",55.01
52,"Phalombe",73.37
53,"Phalombe",73.37
54,"Rumphi",65.83
55,"Rumphi",65.83
56,"Salima",55.55
57,"Salima",55.55
58,"Thyolo",64
59,"Thyolo",64
60,"Zomba",57.95
61,"Zomba",57.95
62,"Zomba City",63.15
63,"Zomba City",63.15
