"Category","Average consumption adequacy of Kilocalories (kcal) (ADM2_EN)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Balaka",95
1,"Balaka",95
2,"Blantyre",94.34
3,"Blantyre",94.34
4,"Blantyre City",93.74
5,"Blantyre City",93.74
6,"Chikwawa",96.79
7,"Chikwawa",96.79
8,"Chiradzulu",96.58
9,"Chiradzulu",96.58
10,"Chitipa",92.8
11,"Chitipa",92.8
12,"Dedza",92.25
13,"Dedza",92.25
14,"Dowa",88.58
15,"Dowa",88.58
16,"Karonga",84.63
17,"Karonga",84.63
18,"Kasungu",91.38
19,"Kasungu",91.38
20,"Likoma",93.37
21,"Likoma",93.37
22,"Lilongwe",93.35
23,"Lilongwe",93.35
24,"Lilongwe City",93.64
25,"Lilongwe City",93.64
26,"Machinga",95.62
27,"Machinga",95.62
28,"Mangochi",93.31
29,"Mangochi",93.31
30,"Mchinji",90.63
31,"Mchinji",90.63
32,"Mulanje",98.45
33,"Mulanje",98.45
34,"Mwanza",93.25
35,"Mwanza",93.25
36,"Mzimba",88.63
37,"Mzimba",88.63
38,"Mzuzu City",88.18
39,"Mzuzu City",88.18
40,"Neno",95.46
41,"Neno",95.46
42,"Nkhata Bay",83.48
43,"Nkhata Bay",83.48
44,"Nkhotakota",89.43
45,"Nkhotakota",89.43
46,"Nsanje",96.67
47,"Nsanje",96.67
48,"Ntcheu",94.11
49,"Ntcheu",94.11
50,"Ntchisi",92.09
51,"Ntchisi",92.09
52,"Phalombe",97.64
53,"Phalombe",97.64
54,"Rumphi",93.06
55,"Rumphi",93.06
56,"Salima",94.92
57,"Salima",94.92
58,"Thyolo",96.75
59,"Thyolo",96.75
60,"Zomba",96.35
61,"Zomba",96.35
62,"Zomba City",96.03
63,"Zomba City",96.03
