"Category","Average consumption adequacy of Kilocalories (kcal) (ADM2_EN)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Balaka",54.29
1,"Balaka",54.29
2,"Blantyre",54.79
3,"Blantyre",54.79
4,"Blantyre City",67.59
5,"Blantyre City",67.59
6,"Chikwawa",52.45
7,"Chikwawa",52.45
8,"Chiradzulu",60.28
9,"Chiradzulu",60.28
10,"Chitipa",61.31
11,"Chitipa",61.31
12,"Dedza",46.91
13,"Dedza",46.91
14,"Dowa",51.61
15,"Dowa",51.61
16,"Karonga",58.29
17,"Karonga",58.29
18,"Kasungu",49.19
19,"Kasungu",49.19
20,"Likoma",28.58
21,"Likoma",28.58
22,"Lilongwe",54.48
23,"Lilongwe",54.48
24,"Lilongwe City",60.06
25,"Lilongwe City",60.06
26,"Machinga",61.05
27,"Machinga",61.05
28,"Mangochi",67.43
29,"Mangochi",67.43
30,"Mchinji",53.46
31,"Mchinji",53.46
32,"Mulanje",47.84
33,"Mulanje",47.84
34,"Mwanza",65.7
35,"Mwanza",65.7
36,"Mzimba",60.92
37,"Mzimba",60.92
38,"Mzuzu City",59.02
39,"Mzuzu City",59.02
40,"Neno",70.89
41,"Neno",70.89
42,"Nkhata Bay",69.13
43,"Nkhata Bay",69.13
44,"Nkhotakota",51.19
45,"Nkhotakota",51.19
46,"Nsanje",48.38
47,"Nsanje",48.38
48,"Ntcheu",50.05
49,"Ntcheu",50.05
50,"Ntchisi",55.58
51,"Ntchisi",55.58
52,"Phalombe",49.25
53,"Phalombe",49.25
54,"Rumphi",66.52
55,"Rumphi",66.52
56,"Salima",53.01
57,"Salima",53.01
58,"Thyolo",56.53
59,"Thyolo",56.53
60,"Zomba",52.6
61,"Zomba",52.6
62,"Zomba City",65.31
63,"Zomba City",65.31
