"Category","Average consumption adequacy of Kilocalories (kcal) (ADM2_EN)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Balaka",92.15
1,"Balaka",92.15
2,"Blantyre",91.43
3,"Blantyre",91.43
4,"Blantyre City",93.58
5,"Blantyre City",93.58
6,"Chikwawa",93.15
7,"Chikwawa",93.15
8,"Chiradzulu",93.74
9,"Chiradzulu",93.74
10,"Chitipa",94.16
11,"Chitipa",94.16
12,"Dedza",88.77
13,"Dedza",88.77
14,"Dowa",87.02
15,"Dowa",87.02
16,"Karonga",89.74
17,"Karonga",89.74
18,"Kasungu",89.44
19,"Kasungu",89.44
20,"Likoma",92.79
21,"Likoma",92.79
22,"Lilongwe",90.68
23,"Lilongwe",90.68
24,"Lilongwe City",93.23
25,"Lilongwe City",93.23
26,"Machinga",92.87
27,"Machinga",92.87
28,"Mangochi",91.64
29,"Mangochi",91.64
30,"Mchinji",89.59
31,"Mchinji",89.59
32,"Mulanje",94.25
33,"Mulanje",94.25
34,"Mwanza",91.44
35,"Mwanza",91.44
36,"Mzimba",89.99
37,"Mzimba",89.99
38,"Mzuzu City",90.2
39,"Mzuzu City",90.2
40,"Neno",95.37
41,"Neno",95.37
42,"Nkhata Bay",91.29
43,"Nkhata Bay",91.29
44,"Nkhotakota",91.36
45,"Nkhotakota",91.36
46,"Nsanje",93.77
47,"Nsanje",93.77
48,"Ntcheu",89.47
49,"Ntcheu",89.47
50,"Ntchisi",92.38
51,"Ntchisi",92.38
52,"Phalombe",92.72
53,"Phalombe",92.72
54,"Rumphi",95.09
55,"Rumphi",95.09
56,"Salima",90.49
57,"Salima",90.49
58,"Thyolo",94.3
59,"Thyolo",94.3
60,"Zomba",93.52
61,"Zomba",93.52
62,"Zomba City",93.87
63,"Zomba City",93.87
