"Category","Average consumption adequacy of Kilocalories (kcal) (ADM2_EN)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Balaka",92.33
1,"Balaka",92.33
2,"Blantyre",92.61
3,"Blantyre",92.61
4,"Blantyre City",95.7
5,"Blantyre City",95.7
6,"Chikwawa",89.98
7,"Chikwawa",89.98
8,"Chiradzulu",92.19
9,"Chiradzulu",92.19
10,"Chitipa",93.81
11,"Chitipa",93.81
12,"Dedza",89.27
13,"Dedza",89.27
14,"Dowa",85.16
15,"Dowa",85.16
16,"Karonga",89.92
17,"Karonga",89.92
18,"Kasungu",85.47
19,"Kasungu",85.47
20,"Likoma",87.41
21,"Likoma",87.41
22,"Lilongwe",90.87
23,"Lilongwe",90.87
24,"Lilongwe City",95.99
25,"Lilongwe City",95.99
26,"Machinga",90.05
27,"Machinga",90.05
28,"Mangochi",94.19
29,"Mangochi",94.19
30,"Mchinji",90.14
31,"Mchinji",90.14
32,"Mulanje",92.54
33,"Mulanje",92.54
34,"Mwanza",95.12
35,"Mwanza",95.12
36,"Mzimba",93.86
37,"Mzimba",93.86
38,"Mzuzu City",92.52
39,"Mzuzu City",92.52
40,"Neno",96.68
41,"Neno",96.68
42,"Nkhata Bay",96.94
43,"Nkhata Bay",96.94
44,"Nkhotakota",90.78
45,"Nkhotakota",90.78
46,"Nsanje",86.18
47,"Nsanje",86.18
48,"Ntcheu",89.17
49,"Ntcheu",89.17
50,"Ntchisi",91.75
51,"Ntchisi",91.75
52,"Phalombe",86.53
53,"Phalombe",86.53
54,"Rumphi",94.94
55,"Rumphi",94.94
56,"Salima",90.38
57,"Salima",90.38
58,"Thyolo",91.98
59,"Thyolo",91.98
60,"Zomba",93.16
61,"Zomba",93.16
62,"Zomba City",95.75
63,"Zomba City",95.75
