"Category","Average consumption adequacy of Kilocalories (kcal) (ADM2_EN)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Balaka",90.6
1,"Balaka",90.6
2,"Blantyre",91.95
3,"Blantyre",91.95
4,"Blantyre City",93.5
5,"Blantyre City",93.5
6,"Chikwawa",93.54
7,"Chikwawa",93.54
8,"Chiradzulu",93.12
9,"Chiradzulu",93.12
10,"Chitipa",91.35
11,"Chitipa",91.35
12,"Dedza",85.63
13,"Dedza",85.63
14,"Dowa",81.31
15,"Dowa",81.31
16,"Karonga",88.14
17,"Karonga",88.14
18,"Kasungu",85.1
19,"Kasungu",85.1
20,"Likoma",87.87
21,"Likoma",87.87
22,"Lilongwe",88.63
23,"Lilongwe",88.63
24,"Lilongwe City",93.06
25,"Lilongwe City",93.06
26,"Machinga",89.51
27,"Machinga",89.51
28,"Mangochi",89.64
29,"Mangochi",89.64
30,"Mchinji",86.72
31,"Mchinji",86.72
32,"Mulanje",95.36
33,"Mulanje",95.36
34,"Mwanza",91.98
35,"Mwanza",91.98
36,"Mzimba",88
37,"Mzimba",88
38,"Mzuzu City",87.68
39,"Mzuzu City",87.68
40,"Neno",94.35
41,"Neno",94.35
42,"Nkhata Bay",90.49
43,"Nkhata Bay",90.49
44,"Nkhotakota",88.96
45,"Nkhotakota",88.96
46,"Nsanje",89.98
47,"Nsanje",89.98
48,"Ntcheu",88.98
49,"Ntcheu",88.98
50,"Ntchisi",88.88
51,"Ntchisi",88.88
52,"Phalombe",93.93
53,"Phalombe",93.93
54,"Rumphi",93.03
55,"Rumphi",93.03
56,"Salima",89.12
57,"Salima",89.12
58,"Thyolo",93.74
59,"Thyolo",93.74
60,"Zomba",92.93
61,"Zomba",92.93
62,"Zomba City",93.25
63,"Zomba City",93.25
