"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Ashanti",77.39
1,"Ashanti",77.39
2,"Brong Ahafo",76.61
3,"Brong Ahafo",76.61
4,"Central",83.57
5,"Central",83.57
6,"Eastern",86.57
7,"Eastern",86.57
8,"Greater Accra",81.24
9,"Greater Accra",81.24
10,"Northern",58.64
11,"Northern",58.64
12,"Upper East",59.46
13,"Upper East",59.46
14,"Upper West",45.96
15,"Upper West",45.96
16,"Volta",78.02
17,"Volta",78.02
18,"Western",77.96
19,"Western",77.96
