"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Ashanti",48.61
1,"Ashanti",48.61
2,"Brong Ahafo",54.96
3,"Brong Ahafo",54.96
4,"Central",49.51
5,"Central",49.51
6,"Eastern",52.3
7,"Eastern",52.3
8,"Greater Accra",49.59
9,"Greater Accra",49.59
10,"Northern",54.9
11,"Northern",54.9
12,"Upper East",51.64
13,"Upper East",51.64
14,"Upper West",52.8
15,"Upper West",52.8
16,"Volta",58.82
17,"Volta",58.82
18,"Western",42.91
19,"Western",42.91
