"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Ashanti",50.32
1,"Ashanti",50.32
2,"Brong Ahafo",57.41
3,"Brong Ahafo",57.41
4,"Central",55.05
5,"Central",55.05
6,"Eastern",59.76
7,"Eastern",59.76
8,"Greater Accra",49.61
9,"Greater Accra",49.61
10,"Northern",54.44
11,"Northern",54.44
12,"Upper East",60.77
13,"Upper East",60.77
14,"Upper West",52.15
15,"Upper West",52.15
16,"Volta",58.73
17,"Volta",58.73
18,"Western",53.55
19,"Western",53.55
