"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Ashanti",46.39
1,"Ashanti",46.39
2,"Brong Ahafo",52.76
3,"Brong Ahafo",52.76
4,"Central",50.12
5,"Central",50.12
6,"Eastern",51.7
7,"Eastern",51.7
8,"Greater Accra",45.28
9,"Greater Accra",45.28
10,"Northern",50.42
11,"Northern",50.42
12,"Upper East",45.19
13,"Upper East",45.19
14,"Upper West",49.47
15,"Upper West",49.47
16,"Volta",54.54
17,"Volta",54.54
18,"Western",47.78
19,"Western",47.78
