"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Ashanti",54.35
1,"Ashanti",54.35
2,"Brong Ahafo",57.94
3,"Brong Ahafo",57.94
4,"Central",60.96
5,"Central",60.96
6,"Eastern",58.4
7,"Eastern",58.4
8,"Greater Accra",56.34
9,"Greater Accra",56.34
10,"Northern",55.05
11,"Northern",55.05
12,"Upper East",49.15
13,"Upper East",49.15
14,"Upper West",51.46
15,"Upper West",51.46
16,"Volta",58.84
17,"Volta",58.84
18,"Western",56.17
19,"Western",56.17
