"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Ashanti",78.76
1,"Ashanti",78.76
2,"Brong Ahafo",80.84
3,"Brong Ahafo",80.84
4,"Central",86.01
5,"Central",86.01
6,"Eastern",85.36
7,"Eastern",85.36
8,"Greater Accra",83.61
9,"Greater Accra",83.61
10,"Northern",77.92
11,"Northern",77.92
12,"Upper East",74.87
13,"Upper East",74.87
14,"Upper West",70.47
15,"Upper West",70.47
16,"Volta",82.37
17,"Volta",82.37
18,"Western",80.42
19,"Western",80.42
