"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Ashanti",44.24
1,"Ashanti",44.24
2,"Brong Ahafo",44.45
3,"Brong Ahafo",44.45
4,"Central",50.12
5,"Central",50.12
6,"Eastern",50.89
7,"Eastern",50.89
8,"Greater Accra",48.27
9,"Greater Accra",48.27
10,"Northern",39.55
11,"Northern",39.55
12,"Upper East",40.14
13,"Upper East",40.14
14,"Upper West",35.24
15,"Upper West",35.24
16,"Volta",45.86
17,"Volta",45.86
18,"Western",49.56
19,"Western",49.56
