"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Ashanti",34.76
1,"Ashanti",34.76
2,"Brong Ahafo",41.7
3,"Brong Ahafo",41.7
4,"Central",39.59
5,"Central",39.59
6,"Eastern",41.23
7,"Eastern",41.23
8,"Greater Accra",36.84
9,"Greater Accra",36.84
10,"Northern",46.5
11,"Northern",46.5
12,"Upper East",45.81
13,"Upper East",45.81
14,"Upper West",46.75
15,"Upper West",46.75
16,"Volta",48.15
17,"Volta",48.15
18,"Western",35.37
19,"Western",35.37
