"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Ashanti",72.6
1,"Ashanti",72.6
2,"Brong Ahafo",66.58
3,"Brong Ahafo",66.58
4,"Central",85.8
5,"Central",85.8
6,"Eastern",83.85
7,"Eastern",83.85
8,"Greater Accra",79.45
9,"Greater Accra",79.45
10,"Northern",46.56
11,"Northern",46.56
12,"Upper East",40.31
13,"Upper East",40.31
14,"Upper West",32.91
15,"Upper West",32.91
16,"Volta",78.62
17,"Volta",78.62
18,"Western",76.32
19,"Western",76.32
