"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Ashanti",72.27
1,"Ashanti",72.27
2,"Brong Ahafo",63.49
3,"Brong Ahafo",63.49
4,"Central",86.73
5,"Central",86.73
6,"Eastern",83.2
7,"Eastern",83.2
8,"Greater Accra",83.82
9,"Greater Accra",83.82
10,"Northern",41.39
11,"Northern",41.39
12,"Upper East",20.58
13,"Upper East",20.58
14,"Upper West",24.95
15,"Upper West",24.95
16,"Volta",74.3
17,"Volta",74.3
18,"Western",63.2
19,"Western",63.2
