"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Ashanti",50.19
1,"Ashanti",50.19
2,"Brong Ahafo",58.7
3,"Brong Ahafo",58.7
4,"Central",51.2
5,"Central",51.2
6,"Eastern",55.06
7,"Eastern",55.06
8,"Greater Accra",52.33
9,"Greater Accra",52.33
10,"Northern",46.74
11,"Northern",46.74
12,"Upper East",39.8
13,"Upper East",39.8
14,"Upper West",41.56
15,"Upper West",41.56
16,"Volta",53.13
17,"Volta",53.13
18,"Western",50.74
19,"Western",50.74
