"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Ashanti",89.5
1,"Ashanti",89.5
2,"Brong Ahafo",92.36
3,"Brong Ahafo",92.36
4,"Central",90.29
5,"Central",90.29
6,"Eastern",92.15
7,"Eastern",92.15
8,"Greater Accra",88.14
9,"Greater Accra",88.14
10,"Northern",69.47
11,"Northern",69.47
12,"Upper East",54.32
13,"Upper East",54.32
14,"Upper West",64.37
15,"Upper West",64.37
16,"Volta",88.85
17,"Volta",88.85
18,"Western",88.03
19,"Western",88.03
