"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Ashanti",40.1
1,"Ashanti",40.1
2,"Brong Ahafo",46.4
3,"Brong Ahafo",46.4
4,"Central",48.08
5,"Central",48.08
6,"Eastern",44.27
7,"Eastern",44.27
8,"Greater Accra",40.36
9,"Greater Accra",40.36
10,"Northern",42.11
11,"Northern",42.11
12,"Upper East",41.1
13,"Upper East",41.1
14,"Upper West",38.27
15,"Upper West",38.27
16,"Volta",44.17
17,"Volta",44.17
18,"Western",42.39
19,"Western",42.39
