"Category","Male","Female"
"Calcium (mg.)",96.56237327008705,95.12232325732248
"Folate (mcg.)",80.8210597072925,87.54187739880976
"Iron (mg.)",99.03611720032569,99.3948226213196
"Kilocalories (kcal)",84.19201538232022,85.3759851999401
"Niacin (mg.)",65.18500974208905,67.30657724963578
"Proteins (g.)",95.86375980835912,96.56879674722978
"Riboflavin (mg.)",56.59281336375291,60.54582363430179
"Thiamin (mg.)",94.59867203897684,95.71271712166129
"Vitamin A (mcg.)",54.52868205264055,53.86557402473316
"Vitamin B12 (mcg.)",41.77544260210061,27.32402155991359
"Vitamin B6 (mg.)",91.59544251857247,93.13140819746258
"Vitamin C (mg.)",92.29019350782643,92.38907077897751
"Zinc (mg.)",89.89449973761644,91.84641654588258
