"Category","Male","Female"
"Calcium (mg.)",97.92475939061222,99.05076228563308
"Folate (mcg.)",86.65975658993312,91.79763368912357
"Iron (mg.)",99.15387501377334,99.42363512673234
"Kilocalories (kcal)",91.78037443609351,95.20700700266794
"Niacin (mg.)",75.70469749939801,85.2628208478546
"Proteins (g.)",97.7663727491425,99.94825935003493
"Riboflavin (mg.)",64.02769670211956,67.5114340019838
"Thiamin (mg.)",93.44519282313668,94.91079643420346
"Vitamin A (mcg.)",67.13518478488433,69.41884466883283
"Vitamin B12 (mcg.)",60.49793704175494,61.6579638579645
"Vitamin B6 (mg.)",92.8386974255731,96.55343537424388
"Vitamin C (mg.)",95.32399226759138,97.24175298988024
"Zinc (mg.)",92.70852087518924,96.68439181489792
