"Category","Male","Female"
"Calcium (mg.)",95.336752842033,96.36627087044096
"Folate (mcg.)",86.88496361219939,85.8538431430953
"Iron (mg.)",99.18399084706036,99.51804170609115
"Kilocalories (kcal)",87.97541505165135,88.09189206443942
"Niacin (mg.)",69.48985309075887,66.7367342664018
"Proteins (g.)",97.32226077318121,96.68046246799528
"Riboflavin (mg.)",59.30578408436742,56.07757702383003
"Thiamin (mg.)",94.4268982523933,94.19400514718578
"Vitamin A (mcg.)",55.61832416067561,53.35615894851112
"Vitamin B12 (mcg.)",37.62544728515144,23.84292419649539
"Vitamin B6 (mg.)",91.55128444854331,91.21561298025847
"Vitamin C (mg.)",93.14198574045778,91.69474608281168
"Zinc (mg.)",92.15041899790205,91.59818555513928
