"Category","Male","Female"
"Calcium (mg.)",94.61880500476656,95.26573203960062
"Folate (mcg.)",90.61319293413686,89.08788000947887
"Iron (mg.)",99.59327728791337,99.81983868878567
"Kilocalories (kcal)",86.80605651939113,86.48218855420642
"Niacin (mg.)",71.62677299213327,74.04745957304591
"Proteins (g.)",97.98400459021836,98.72438433079962
"Riboflavin (mg.)",62.30499037702095,68.23630134298884
"Thiamin (mg.)",96.37107899546668,97.7317230774001
"Vitamin A (mcg.)",48.9824748426968,60.24957309064263
"Vitamin B12 (mcg.)",41.31488486026635,23.66452368881888
"Vitamin B6 (mg.)",93.17128518034086,93.1161055172763
"Vitamin C (mg.)",88.98433301674463,92.23775981595085
"Zinc (mg.)",93.29206979484715,94.11291629673545
