"Category","Male","Female"
"Calcium (mg.)",97.13973067429981,93.89030524094534
"Folate (mcg.)",86.1159664722373,87.63896597300041
"Iron (mg.)",99.84131587541681,99.83862062159645
"Kilocalories (kcal)",91.10769119456961,89.56822967513828
"Niacin (mg.)",74.71957637092376,74.68920571423327
"Proteins (g.)",98.27525290760802,96.22974104978388
"Riboflavin (mg.)",61.19210091486362,62.80193162450455
"Thiamin (mg.)",97.40425838885335,95.47267126648262
"Vitamin A (mcg.)",60.64722715684184,59.77830158777419
"Vitamin B12 (mcg.)",32.53491397051115,28.35513845865359
"Vitamin B6 (mg.)",94.45406546547534,92.76999390712494
"Vitamin C (mg.)",92.21256973791341,92.15979004790753
"Zinc (mg.)",94.35650885211555,91.4559479784162
