"Category","Male","Female"
"Calcium (mg.)",93.50724892942088,94.79741529820205
"Folate (mcg.)",92.32101941355883,93.49378756738898
"Iron (mg.)",97.09225632826076,96.90806484313669
"Kilocalories (kcal)",89.92788979743814,90.48256253522737
"Niacin (mg.)",77.04682483307572,81.61385888264364
"Proteins (g.)",96.77759684607557,97.97148559690989
"Riboflavin (mg.)",60.38752740014901,66.44903090557857
"Thiamin (mg.)",92.56369084047955,93.61303155546733
"Vitamin A (mcg.)",61.35913280639999,61.16045616181474
"Vitamin B12 (mcg.)",36.13384282373144,35.7099831206265
"Vitamin B6 (mg.)",94.06852255527336,94.48050223731349
"Vitamin C (mg.)",94.26911827707289,92.24929571672344
"Zinc (mg.)",91.07023580815954,92.27402891225447
