"Category","Male","Female"
"Calcium (mg.)",87.2226877115105,91.65010809116589
"Folate (mcg.)",76.70205903232464,83.36231871621924
"Iron (mg.)",96.61285848817543,98.1306497341017
"Kilocalories (kcal)",83.4337513727714,84.98920400025165
"Niacin (mg.)",67.53562857566403,70.0162274365037
"Proteins (g.)",95.09830412579666,94.98100285986301
"Riboflavin (mg.)",50.37632602862441,53.31584647100328
"Thiamin (mg.)",91.84624759758438,93.25094934688893
"Vitamin A (mcg.)",48.07673681028344,43.99363535358553
"Vitamin B12 (mcg.)",23.00349959397156,18.04579376824287
"Vitamin B6 (mg.)",88.34167205954404,89.84876394075097
"Vitamin C (mg.)",89.431809257639,88.85497733815875
"Zinc (mg.)",85.02408611735831,87.11843200985638
