"Category","Male","Female"
"Calcium (mg.)",91.77851511289948,82.89432531315117
"Folate (mcg.)",80.89204099950123,78.9051471836368
"Iron (mg.)",98.56943426170878,93.41930826078371
"Kilocalories (kcal)",85.51615862127811,77.72030038537099
"Niacin (mg.)",67.0938497597857,55.97046914798031
"Proteins (g.)",96.19641986395635,92.46328572484164
"Riboflavin (mg.)",50.30133540657518,41.56174756847395
"Thiamin (mg.)",89.99466129442712,84.37014450341918
"Vitamin A (mcg.)",52.76252598573187,48.19936850965851
"Vitamin B12 (mcg.)",30.24667194475886,16.37789921734883
"Vitamin B6 (mg.)",88.54615854539645,82.47503232588053
"Vitamin C (mg.)",86.90246050819847,79.97129871858574
"Zinc (mg.)",83.3540084770771,75.23149351267826
