"Category","Male","Female"
"Calcium (mg.)",97.48010734385842,96.18703883439184
"Folate (mcg.)",84.08357429442265,84.71946576282286
"Iron (mg.)",99.63749514630021,97.29130076654856
"Kilocalories (kcal)",89.3995028105354,85.97413052704218
"Niacin (mg.)",69.53275932216232,66.7940858998648
"Proteins (g.)",96.49532946863015,90.58833006644845
"Riboflavin (mg.)",56.36882890614769,54.88235073283837
"Thiamin (mg.)",85.32782840304503,81.45798679395993
"Vitamin A (mcg.)",58.63787799904748,56.71077986412302
"Vitamin B12 (mcg.)",47.90625394186925,34.20189661107872
"Vitamin B6 (mg.)",90.53396705034852,86.13715370297506
"Vitamin C (mg.)",89.97632059034014,89.68977850464312
"Zinc (mg.)",88.81592582135977,85.07871460678197
