"Category","Male","Female"
"Calcium (mg.)",91.51539422301646,91.40785939968384
"Folate (mcg.)",82.65914376464066,85.63850910819716
"Iron (mg.)",98.0767464919467,98.99878189550108
"Kilocalories (kcal)",87.42296774535536,86.44498151455056
"Niacin (mg.)",66.26983773332104,66.3594398422814
"Proteins (g.)",97.32598032553253,95.51323537786404
"Riboflavin (mg.)",51.54773419863392,55.25589049237928
"Thiamin (mg.)",91.86986537135633,89.47246978344722
"Vitamin A (mcg.)",49.67744406422262,47.30883959290966
"Vitamin B12 (mcg.)",26.27317854326395,15.20891073910068
"Vitamin B6 (mg.)",89.45963213271544,89.38710987472865
"Vitamin C (mg.)",86.68231980371583,80.73057410998236
"Zinc (mg.)",85.3403529766598,84.15242077966947
