"Category","Male","Female"
"Calcium (mg.)",98.88225541231644,92.99235557159115
"Folate (mcg.)",79.76063648545112,81.2650246772676
"Iron (mg.)",100,99.99999999999999
"Kilocalories (kcal)",94.31242929461408,92.82519300958693
"Niacin (mg.)",65.29602208767668,63.94037918448841
"Proteins (g.)",98.07969790809243,96.55000076683517
"Riboflavin (mg.)",59.53090056044378,69.39700881924061
"Thiamin (mg.)",91.04460683029863,97.43398207545546
"Vitamin A (mcg.)",29.01111674832849,27.83060499112694
"Vitamin B12 (mcg.)",54.53943935489298,34.21566835168733
"Vitamin B6 (mg.)",92.01874787520603,94.14306529441194
"Vitamin C (mg.)",91.27373146442216,80.66507415357913
"Zinc (mg.)",87.95179046688303,87.73941279754625
