"Category","Male","Female"
"Calcium (mg.)",98.16597606267378,96.71884379919315
"Folate (mcg.)",87.56457992688182,89.16194353900221
"Iron (mg.)",99.8273769590924,99.08955301716395
"Kilocalories (kcal)",91.14860659179622,88.52433679376193
"Niacin (mg.)",74.93590821001196,72.58936705701245
"Proteins (g.)",98.62267818091254,96.3027252918842
"Riboflavin (mg.)",58.72277626995908,57.37969122527206
"Thiamin (mg.)",93.80661530378362,92.57867989572318
"Vitamin A (mcg.)",60.13121695716281,59.63835808463312
"Vitamin B12 (mcg.)",56.84917256884293,47.09183952448407
"Vitamin B6 (mg.)",93.71043989879412,90.1830039715913
"Vitamin C (mg.)",96.05556207579475,95.5923519687598
"Zinc (mg.)",93.46728130138031,90.5212555044386
