"Category","Male","Female"
"Calcium (mg.)",92.89054902876363,92.28065818675056
"Folate (mcg.)",80.62344158822869,83.31120395012714
"Iron (mg.)",98.20117143773484,98.37280675498613
"Kilocalories (kcal)",84.91912276577993,84.77796181973395
"Niacin (mg.)",67.66389378343595,69.38223635137638
"Proteins (g.)",96.20954015188799,95.4880021928287
"Riboflavin (mg.)",51.89417351395744,53.81562421671876
"Thiamin (mg.)",93.23399385583296,93.63439882766492
"Vitamin A (mcg.)",52.32734081031536,59.57356755761636
"Vitamin B12 (mcg.)",26.4703676821363,14.47701785572437
"Vitamin B6 (mg.)",90.27496240648043,91.64852603551506
"Vitamin C (mg.)",89.89749650397776,93.15534875047516
"Zinc (mg.)",87.99856120068345,90.11692111269062
