"Category","Male","Female"
"Calcium (mg.)",94.56386211812806,94.31229857121959
"Folate (mcg.)",81.71425016704882,81.8099472379832
"Iron (mg.)",98.70520281280895,98.90431718773281
"Kilocalories (kcal)",87.79904991102886,84.37832476268018
"Niacin (mg.)",65.81547930113538,66.78423549585655
"Proteins (g.)",98.77436466708133,94.53831326225841
"Riboflavin (mg.)",56.37829665029383,57.85032451937733
"Thiamin (mg.)",96.43567031288471,94.58840305333172
"Vitamin A (mcg.)",61.21901575927715,60.82531876723893
"Vitamin B12 (mcg.)",40.42131625280732,26.39458515462788
"Vitamin B6 (mg.)",93.91471970750946,91.5557151870985
"Vitamin C (mg.)",90.8223647100166,89.07171728772721
"Zinc (mg.)",90.56970211429669,88.17396113740286
