"Category","Male","Female"
"Calcium (mg.)",97.45567507480575,94.68144504310031
"Folate (mcg.)",82.53091604373753,86.58726246916162
"Iron (mg.)",99.63360479577119,99.23254940679459
"Kilocalories (kcal)",86.45836676684091,87.3417387997021
"Niacin (mg.)",66.81774978862138,68.94647257921312
"Proteins (g.)",96.59112904349853,94.59283031035554
"Riboflavin (mg.)",57.43321816762893,58.38358283725411
"Thiamin (mg.)",94.06189396247811,92.40476145966917
"Vitamin A (mcg.)",66.90011721212096,68.07908223301752
"Vitamin B12 (mcg.)",37.87610600530036,22.01732817318796
"Vitamin B6 (mg.)",91.78236799458642,91.45811612456099
"Vitamin C (mg.)",94.52516362455225,93.78770811118096
"Zinc (mg.)",89.88441357334096,89.33747258320392
