"Category","Male","Female"
"Calcium (mg.)",95.80850852391193,98.23815830313372
"Folate (mcg.)",90.08881542983876,93.28668168521945
"Iron (mg.)",99.78630656492216,100
"Kilocalories (kcal)",90.12202603142883,91.23215757087011
"Niacin (mg.)",78.73084273656042,83.08504422662496
"Proteins (g.)",98.16546568338205,98.79832205606102
"Riboflavin (mg.)",70.93610108636409,78.39634153020778
"Thiamin (mg.)",98.59740723723324,98.20904895625007
"Vitamin A (mcg.)",45.13024963943324,52.1785396421718
"Vitamin B12 (mcg.)",29.86270750475231,29.53598880573308
"Vitamin B6 (mg.)",94.27576728417196,94.2108468072285
"Vitamin C (mg.)",91.5739246061123,94.08821067039744
"Zinc (mg.)",94.85540795844817,96.1590379066758
