"Category","Male","Female"
"Calcium (mg.)",94.86833366687812,97.19945318965269
"Folate (mcg.)",85.86112042901158,91.12107291488286
"Iron (mg.)",97.7302382528096,99.71883973387489
"Kilocalories (kcal)",86.1964248352486,88.62894342668577
"Niacin (mg.)",68.33613768079539,72.12290170701056
"Proteins (g.)",96.24743802977116,98.90170310498442
"Riboflavin (mg.)",56.60812985341202,61.68871312756828
"Thiamin (mg.)",91.24637740950456,96.92356020840968
"Vitamin A (mcg.)",63.09692924345705,70.47407465555797
"Vitamin B12 (mcg.)",40.90481119772132,31.62921568903954
"Vitamin B6 (mg.)",90.11895432235978,93.86192550665218
"Vitamin C (mg.)",95.72133089660788,94.01255491427126
"Zinc (mg.)",90.29602323685464,95.07226119575868
