"Category","Male","Female"
"Calcium (mg.)",94.57708724925838,96.56540580461909
"Folate (mcg.)",84.80509023422854,90.12699924858305
"Iron (mg.)",98.32275913256899,98.41020727413431
"Kilocalories (kcal)",87.7120627540793,90.52290873695365
"Niacin (mg.)",68.37458108620349,71.16596560319084
"Proteins (g.)",96.05452945400134,97.01288162856032
"Riboflavin (mg.)",55.95818049325859,57.05447145642017
"Thiamin (mg.)",87.5207412181782,91.56629286027068
"Vitamin A (mcg.)",61.53334698504435,59.29623337775114
"Vitamin B12 (mcg.)",44.03671427164414,36.95547245676827
"Vitamin B6 (mg.)",89.18527832236799,92.12662142416207
"Vitamin C (mg.)",93.71485029761755,94.26072379834629
"Zinc (mg.)",87.234451173866,90.01984350764877
