"Category","Male","Female"
"Calcium (mg.)",95.34311683478343,96.7652120667763
"Folate (mcg.)",82.56683727396599,82.85782008546184
"Iron (mg.)",97.37782704413667,99.85268056877827
"Kilocalories (kcal)",89.95959719571732,88.73955592605854
"Niacin (mg.)",72.17259219877396,70.43412441142
"Proteins (g.)",97.82811568819454,96.72716962885785
"Riboflavin (mg.)",62.48182797791257,60.65233399182361
"Thiamin (mg.)",88.09475795926612,88.56280575871207
"Vitamin A (mcg.)",59.53876797099428,56.83539776594624
"Vitamin B12 (mcg.)",63.91299028964571,55.73172308940691
"Vitamin B6 (mg.)",90.58958961472092,88.57193213332584
"Vitamin C (mg.)",92.109690841487,94.26843962816034
"Zinc (mg.)",87.41650816505434,88.77561096800355
