"Category","Male","Female"
"Calcium (mg.)",89.85831076280914,90.01724427500534
"Folate (mcg.)",83.87065996429598,85.6130003342559
"Iron (mg.)",96.89249529635137,97.28396206643276
"Kilocalories (kcal)",87.70837661968585,88.51209611000574
"Niacin (mg.)",69.73764992888239,65.25020080454205
"Proteins (g.)",96.14961566892326,96.53934635568073
"Riboflavin (mg.)",51.99427697443429,51.02764104828859
"Thiamin (mg.)",90.66863185548854,90.43574913284644
"Vitamin A (mcg.)",51.90776384393567,60.48444666481928
"Vitamin B12 (mcg.)",26.66658528096754,19.94009423816891
"Vitamin B6 (mg.)",89.79221018185308,88.67833899212219
"Vitamin C (mg.)",89.09451689824937,94.86621166181365
"Zinc (mg.)",86.63430493460238,87.13440627556592
