"Category","Male","Female"
"Calcium (mg.)",96.29879840511639,98.4918513052853
"Folate (mcg.)",90.61885102473354,95.39264270068901
"Iron (mg.)",99.15099119287747,99.36930915583675
"Kilocalories (kcal)",91.15460083556451,89.82985705112037
"Niacin (mg.)",74.5072997679709,72.82656600232237
"Proteins (g.)",98.29969463557995,97.59083061679581
"Riboflavin (mg.)",63.85459149410575,63.14675098887275
"Thiamin (mg.)",96.13858388472755,93.97528115076594
"Vitamin A (mcg.)",71.01645158998649,70.62999257177327
"Vitamin B12 (mcg.)",37.90216318853162,28.829529272146
"Vitamin B6 (mg.)",95.12542665030777,95.9023210902573
"Vitamin C (mg.)",96.85115048730387,96.32035109461803
"Zinc (mg.)",94.06137452583901,94.96614300940848
