"Category","Male","Female"
"Calcium (mg.)",98.78581543328093,98.24519498025901
"Folate (mcg.)",89.90248345916937,90.5964771183835
"Iron (mg.)",99.34158821740353,99.58415868833525
"Kilocalories (kcal)",92.05544187228611,89.93779695421429
"Niacin (mg.)",74.88429549153061,68.97211977592927
"Proteins (g.)",94.30020463546116,92.94816059383905
"Riboflavin (mg.)",71.09173466382857,66.27313226307865
"Thiamin (mg.)",83.7061262446327,82.90885270818234
"Vitamin A (mcg.)",71.18023081790717,63.96230845540641
"Vitamin B12 (mcg.)",50.13618676764314,40.92079229792681
"Vitamin B6 (mg.)",91.70415765281493,90.26019861515218
"Vitamin C (mg.)",96.78799084535606,97.31104529480443
"Zinc (mg.)",91.02469483406921,89.12758612100214
