"Category","Male","Female"
"Calcium (mg.)",96.35876430333639,96.86752573149762
"Folate (mcg.)",83.33485881980246,82.24387638805759
"Iron (mg.)",98.46296052897945,100
"Kilocalories (kcal)",87.96843611881427,84.07845094800598
"Niacin (mg.)",69.5578336115403,60.37606231135038
"Proteins (g.)",94.41946994292695,93.00386760370485
"Riboflavin (mg.)",58.79219930588819,55.6125017350157
"Thiamin (mg.)",90.31176426962547,86.20285450884965
"Vitamin A (mcg.)",52.82571049236862,45.17552205279949
"Vitamin B12 (mcg.)",33.56351755353574,17.81772551610593
"Vitamin B6 (mg.)",92.19838526412198,88.25050162072239
"Vitamin C (mg.)",91.47848178768263,88.20445935660399
"Zinc (mg.)",89.23384941400298,87.93148301451829
