"Category","Male","Female"
"Calcium (mg.)",93.7358618503187,94.1691144282939
"Folate (mcg.)",89.44491952232076,92.16168374579544
"Iron (mg.)",99.02231049984921,99.23440008694918
"Kilocalories (kcal)",83.76366952376125,88.6784051011385
"Niacin (mg.)",67.26891012503938,71.46641699140748
"Proteins (g.)",97.16045946900397,98.22515089083672
"Riboflavin (mg.)",61.07437067639424,65.47643929824466
"Thiamin (mg.)",95.96501112431588,98.36764882374005
"Vitamin A (mcg.)",49.20559239598668,46.39147149993144
"Vitamin B12 (mcg.)",44.19108540865474,35.54511583647409
"Vitamin B6 (mg.)",92.41868307830569,97.03055779911443
"Vitamin C (mg.)",86.61515596962805,85.13255433244137
"Zinc (mg.)",88.57850807400447,93.36332442357138
