"Category","Male","Female"
"Calcium (mg.)",91.73531340125274,88.32086165539026
"Folate (mcg.)",84.98490629739557,84.12057026585822
"Iron (mg.)",98.97787971523859,96.86393591686053
"Kilocalories (kcal)",87.42864569591994,87.307390533138
"Niacin (mg.)",76.4173692535889,76.47860555759233
"Proteins (g.)",97.55208891157045,95.92521411625633
"Riboflavin (mg.)",63.12838743722261,57.79852175433521
"Thiamin (mg.)",94.45151190611391,93.47155640128713
"Vitamin A (mcg.)",52.82155029520581,44.80485441301042
"Vitamin B12 (mcg.)",29.3636705291648,24.65907599208206
"Vitamin B6 (mg.)",89.77371855755304,88.90600798566334
"Vitamin C (mg.)",90.21150846272536,87.18721138192035
"Zinc (mg.)",90.06505583988364,86.90833335384515
