"Category","Male","Female"
"Calcium (mg.)",92.82495891414618,96.66761082807136
"Folate (mcg.)",84.54330212046563,89.44989430877825
"Iron (mg.)",98.29224458601666,99.96571860582645
"Kilocalories (kcal)",87.85415065258299,90.34848647844969
"Niacin (mg.)",70.79984693950867,71.73077861507637
"Proteins (g.)",96.59030508850599,96.79516187634871
"Riboflavin (mg.)",54.38061435168738,58.05381021950702
"Thiamin (mg.)",92.33873997893092,90.87473448133949
"Vitamin A (mcg.)",53.44023877915162,65.98210259724574
"Vitamin B12 (mcg.)",32.72645717887113,19.3217854968801
"Vitamin B6 (mg.)",92.31270255953876,92.6976763605243
"Vitamin C (mg.)",91.1266248767707,94.7849225375193
"Zinc (mg.)",88.35349938064985,91.42761302932875
