"Category","Male","Female"
"Calcium (mg.)",95.06747549746747,96.60096101194766
"Folate (mcg.)",90.67412730756425,88.43223806876439
"Iron (mg.)",99.80489793374366,99.73109062894635
"Kilocalories (kcal)",87.9032773178064,86.66164030606087
"Niacin (mg.)",80.0520374535683,77.35179699617166
"Proteins (g.)",98.63547873018935,97.17940573634505
"Riboflavin (mg.)",74.59981487126046,70.77192257456052
"Thiamin (mg.)",98.49126691379304,95.8416925764057
"Vitamin A (mcg.)",49.10711561602726,49.5435270436606
"Vitamin B12 (mcg.)",29.57969758567216,22.14329761892649
"Vitamin B6 (mg.)",93.24399562394278,91.60628415139921
"Vitamin C (mg.)",86.59106762244357,86.40961684089541
"Zinc (mg.)",94.87477700999207,91.92097036401118
