"Category","Male","Female"
"Calcium (mg.)",98.62237601624851,93.3867623926686
"Folate (mcg.)",91.9453136614038,86.69540821005484
"Iron (mg.)",99.80161065534894,99.18110585668668
"Kilocalories (kcal)",94.2322231688151,87.57722296285255
"Niacin (mg.)",81.83690069493143,70.92407936548477
"Proteins (g.)",98.60180160044571,94.73289386181935
"Riboflavin (mg.)",67.97003364144035,55.91773222284555
"Thiamin (mg.)",93.50536370060952,90.98856262742669
"Vitamin A (mcg.)",68.00174699300088,59.64836976531353
"Vitamin B12 (mcg.)",63.0410971374456,33.7764479699027
"Vitamin B6 (mg.)",95.90091071940623,91.33008678315562
"Vitamin C (mg.)",95.4256847537587,92.71103100523496
"Zinc (mg.)",93.92797348425312,88.8829259973367
