"Category","Male","Female"
"Calcium (mg.)",90.54447056997462,93.69564517568939
"Folate (mcg.)",81.14598719903671,84.39664112189986
"Iron (mg.)",97.61559477432331,98.38406965825102
"Kilocalories (kcal)",84.03325010822081,82.92477875656965
"Niacin (mg.)",69.46501099488457,69.59761389786523
"Proteins (g.)",95.85926954828935,98.03778699687186
"Riboflavin (mg.)",55.64358627199239,55.34189827103594
"Thiamin (mg.)",94.93985142028767,94.8847362342193
"Vitamin A (mcg.)",50.82954241341037,58.00385038998674
"Vitamin B12 (mcg.)",34.2288440435603,26.68570104458931
"Vitamin B6 (mg.)",89.81541577192435,92.03692380487206
"Vitamin C (mg.)",90.74918123865713,89.53615205921416
"Zinc (mg.)",87.8757970284654,91.96902385113225
