"Category","Male","Female"
"Calcium (mg.)",96.85002539577813,98.57939750282783
"Folate (mcg.)",89.3377004783052,92.53668516901622
"Iron (mg.)",99.62822856035446,99.62688307050972
"Kilocalories (kcal)",88.77737269171307,90.96536873085805
"Niacin (mg.)",71.37767516220867,75.39808167531856
"Proteins (g.)",96.40805574852031,97.95161999575163
"Riboflavin (mg.)",61.59550626637849,67.36878856251604
"Thiamin (mg.)",95.80955331991763,98.08034016144568
"Vitamin A (mcg.)",55.7356868609447,57.64890385781951
"Vitamin B12 (mcg.)",31.98494276945672,28.83921772495297
"Vitamin B6 (mg.)",93.19980769918982,95.84134424867626
"Vitamin C (mg.)",91.41596415905077,92.77364387481833
"Zinc (mg.)",92.44838552118223,95.5429361463371
