"Category","Male","Female"
"Calcium (mg.)",95.88536374163601,95.5681322684984
"Folate (mcg.)",82.98494704874413,87.1021479044134
"Iron (mg.)",98.56157269898468,99.02996111747909
"Kilocalories (kcal)",88.56170434406157,91.45369709737452
"Niacin (mg.)",69.01607029575788,71.8701921032863
"Proteins (g.)",97.33225381094189,97.7774952318529
"Riboflavin (mg.)",55.3592163021202,62.47774317858627
"Thiamin (mg.)",95.45539234474816,97.89857330250173
"Vitamin A (mcg.)",51.73686616927955,54.10809686016495
"Vitamin B12 (mcg.)",33.50870238828558,27.4440119439525
"Vitamin B6 (mg.)",92.3354554272654,95.59859832476997
"Vitamin C (mg.)",92.8607934152466,93.68894914655256
"Zinc (mg.)",92.32492535129973,93.98614142388398
