"Category","Male","Female"
"Calcium (mg.)",73.5801609460092,82.07233185579682
"Folate (mcg.)",53.64797975804955,57.31607583734174
"Iron (mg.)",56.67936263904915,58.7148638406033
"Kilocalories (kcal)",52.10285093880658,53.93468475560331
"Niacin (mg.)",55.70704191741166,61.96834718457089
"Proteins (g.)",79.53049541085092,83.21592730621929
"Riboflavin (mg.)",41.3966180176558,49.96175318005893
"Thiamin (mg.)",41.40589774719863,42.23954657805761
"Vitamin A (mcg.)",63.56023290330828,72.01788317194527
"Vitamin B12 (mcg.)",60.89312179822301,68.17497551305756
"Vitamin B6 (mg.)",58.96457588257675,58.23504827226776
"Vitamin C (mg.)",91.91051501746078,93.17094336929121
"Zinc (mg.)",46.17526657883523,46.79845167353599
