"Category","Male","Female"
"Calcium (mg.)",82.25364015413291,85.63356619021651
"Folate (mcg.)",46.52682372466115,54.17992559406653
"Iron (mg.)",51.96213269680907,59.88142494730129
"Kilocalories (kcal)",47.63617584394492,54.01592471725681
"Niacin (mg.)",58.66026428190407,64.5701750125948
"Proteins (g.)",85.25862887821255,87.1858072505737
"Riboflavin (mg.)",47.18669434565772,54.71065870475754
"Thiamin (mg.)",37.3214849666863,43.14675949987324
"Vitamin A (mcg.)",83.51202181990769,89.38213732011042
"Vitamin B12 (mcg.)",87.60240435616946,85.37107824599033
"Vitamin B6 (mg.)",49.39826802854823,54.01890679740288
"Vitamin C (mg.)",89.28003417974746,91.86697441968435
"Zinc (mg.)",45.65038950516266,51.88207266767134
