"Category","Male","Female"
"Calcium (mg.)",83.22471422829295,92.27251811981579
"Folate (mcg.)",49.08618682887853,57.78933007502828
"Iron (mg.)",56.99730365746609,64.46511083781824
"Kilocalories (kcal)",49.39270905179175,55.64384678585719
"Niacin (mg.)",55.0358499080432,64.14292967023847
"Proteins (g.)",82.87932078425044,89.59733049741425
"Riboflavin (mg.)",47.24225888739652,57.1201075919775
"Thiamin (mg.)",39.68793151012178,43.86559497284767
"Vitamin A (mcg.)",82.60771503625398,85.96430962203982
"Vitamin B12 (mcg.)",80.22177226935514,88.27492422935825
"Vitamin B6 (mg.)",53.36920668039271,57.95826416788415
"Vitamin C (mg.)",91.7042908510587,92.9203995664037
"Zinc (mg.)",42.66714902782872,47.01119921555071
