"Category","Male","Female"
"Calcium (mg.)",78.37320473787572,86.25122555601678
"Folate (mcg.)",46.29945035911756,55.33859117211681
"Iron (mg.)",46.38290545566025,55.23921933644315
"Kilocalories (kcal)",42.47289932086646,50.17432964130298
"Niacin (mg.)",52.92665693894487,62.30223915833442
"Proteins (g.)",81.1082368400661,87.97110475286573
"Riboflavin (mg.)",44.66398078984854,54.56359057260261
"Thiamin (mg.)",34.46975011240682,40.98121450790825
"Vitamin A (mcg.)",76.98744815406252,83.75670667607055
"Vitamin B12 (mcg.)",83.21699457080658,84.86602575560612
"Vitamin B6 (mg.)",49.18257000011623,57.81138438466301
"Vitamin C (mg.)",86.26101849007257,91.42185346693957
"Zinc (mg.)",37.60880839746544,45.16727777360337
