"Category","Male","Female"
"Calcium (mg.)",57.14626030657161,67.43465056122288
"Folate (mcg.)",54.50012583400142,57.22043362668003
"Iron (mg.)",54.78988520970243,52.36181091892718
"Kilocalories (kcal)",50.027004042502,52.76107815511443
"Niacin (mg.)",54.80572905576699,56.47816091601894
"Proteins (g.)",77.66205666720627,79.44529681713767
"Riboflavin (mg.)",39.02296881751866,42.63905049929578
"Thiamin (mg.)",46.56503128403445,46.11855535790527
"Vitamin A (mcg.)",44.84248915023071,56.63930331624366
"Vitamin B12 (mcg.)",39.46040520769066,52.74304870622841
"Vitamin B6 (mg.)",47.27211915008889,43.6105357620004
"Vitamin C (mg.)",69.08386744480156,71.7583904639387
"Zinc (mg.)",42.69911076225304,38.67329155514587
