"Category","Male","Female"
"Calcium (mg.)",55.4056452251608,69.0764858396274
"Folate (mcg.)",49.87560930350294,55.83388168832033
"Iron (mg.)",59.35497208606253,64.10851018901451
"Kilocalories (kcal)",43.86315524464076,48.32916563337528
"Niacin (mg.)",47.07656527760886,54.06006616468149
"Proteins (g.)",72.74291999782201,79.89376389606507
"Riboflavin (mg.)",38.18476700668544,44.77787387855194
"Thiamin (mg.)",44.94985919022086,47.86200728929757
"Vitamin A (mcg.)",38.02483356569113,45.70664052111051
"Vitamin B12 (mcg.)",19.05049427027964,24.18863679110497
"Vitamin B6 (mg.)",38.48676349651359,42.91823466079646
"Vitamin C (mg.)",50.97581349311239,62.25329908758831
"Zinc (mg.)",40.40322072074201,42.74547435156543
