"Category","Male","Female"
"Calcium (mg.)",42.77185359966528,55.96264958017681
"Folate (mcg.)",50.63652503587129,59.59502854586417
"Iron (mg.)",51.09340923927002,55.47066998919448
"Kilocalories (kcal)",47.68559066560095,55.07356426004573
"Niacin (mg.)",49.27115553380781,58.31131887029671
"Proteins (g.)",68.81246269182722,75.67246777365223
"Riboflavin (mg.)",33.02936017364906,42.18865649087974
"Thiamin (mg.)",45.07011859392089,52.02912854025414
"Vitamin A (mcg.)",30.56699400124764,40.24381876326791
"Vitamin B12 (mcg.)",23.7912163845577,28.60368191991871
"Vitamin B6 (mg.)",39.55101644920283,47.84706628416402
"Vitamin C (mg.)",61.35831135241664,73.79560985563448
"Zinc (mg.)",37.20696269100145,41.61651171613501
