"Category","Male","Female"
"Calcium (mg.)",74.66080115370102,83.7674989745462
"Folate (mcg.)",56.37394485726519,63.01184917575529
"Iron (mg.)",56.19573084797872,63.07162018087681
"Kilocalories (kcal)",53.15316450725865,56.90954565945136
"Niacin (mg.)",56.63860625964191,62.60961662613457
"Proteins (g.)",80.06881127745221,86.29549711758818
"Riboflavin (mg.)",42.32589506152509,51.90723839801554
"Thiamin (mg.)",46.34865274647487,51.22007273453467
"Vitamin A (mcg.)",76.38853599815643,82.4243597102518
"Vitamin B12 (mcg.)",71.49665730196062,79.0971547999948
"Vitamin B6 (mg.)",51.70701843797256,55.55914175099054
"Vitamin C (mg.)",87.73558908360168,90.75871290123926
"Zinc (mg.)",42.88583790994668,46.36993734826229
