"Category","Male","Female"
"Calcium (mg.)",77.2708623873842,79.44754268015443
"Folate (mcg.)",41.9687779403972,44.91862899808012
"Iron (mg.)",53.33466248066521,54.01433069271939
"Kilocalories (kcal)",48.18062884852964,46.93487624808927
"Niacin (mg.)",54.81955198758396,59.07751507531778
"Proteins (g.)",79.65529938397219,82.06057401978411
"Riboflavin (mg.)",47.886399195821,53.13390508729682
"Thiamin (mg.)",35.69611725255553,34.66240548644202
"Vitamin A (mcg.)",75.58334952477671,77.90243856198788
"Vitamin B12 (mcg.)",60.448846397304,69.10321747477971
"Vitamin B6 (mg.)",51.38937413470401,49.33532743669829
"Vitamin C (mg.)",87.702459314374,88.7343593876604
"Zinc (mg.)",43.66995210474773,39.64930926554342
