District,consumption-adequacy-of iron (mg.),consumption-adequacy-of zinc (mg.),consumption-adequacy-of vitamin A (mcg.),consumption-adequacy-of kcal,consumption-adequacy-of folate (mcg.),consumption-adequacy-of thiamin (mg.),consumption-adequacy-of vitamin C (mg.),consumption-adequacy-of niacin(mg.),consumption-adequacy-of protein (g.),consumption-adequacy-of vitamin B6 (mg.),consumption-adequacy-of riboflavin (mg.),consumption-adequacy-of calcium (mg.),consumption-adequacy-of vitamin B12 (mcg.)
Ashanti,50.32,40.1,72.6,46.39,48.61,34.76,89.5,54.35,78.76,50.19,44.24,77.39,72.27
Brong Ahafo,57.41,46.4,66.58,52.76,54.96,41.7,92.36,57.94,80.84,58.7,44.45,76.61,63.49
Central,55.05,48.08,85.8,50.12,49.51,39.59,90.29,60.96,86.01,51.2,50.12,83.57,86.73
Eastern,59.76,44.27,83.85,51.7,52.3,41.23,92.15,58.4,85.36,55.06,50.89,86.57,83.2
Greater Accra,49.61,40.36,79.45,45.28,49.59,36.84,88.14,56.34,83.61,52.33,48.27,81.24,83.82
Northern,54.44,42.11,46.56,50.42,54.9,46.5,69.47,55.05,77.92,46.74,39.55,58.64,41.39
Upper East,60.77,41.1,40.31,45.19,51.64,45.81,54.32,49.15,74.87,39.8,40.14,59.46,20.58
Upper West,52.15,38.27,32.91,49.47,52.8,46.75,64.37,51.46,70.47,41.56,35.24,45.96,24.95
Volta,58.73,44.17,78.62,54.54,58.82,48.15,88.85,58.84,82.37,53.13,45.86,78.02,74.3
Western,53.55,42.39,76.32,47.78,42.91,35.37,88.03,56.17,80.42,50.74,49.56,77.96,63.2
